invoice_id,customer_id,arm,stratum,decline_code,outcome,invoice_amount_minor,recovered_amount_minor,currency,processor_txn_id,settled_at,reversal_type,reversal_amount_minor,reversal_at
cus_4_inv_0,cus_4,control,small|soft|emea,insufficient_funds,recovered,2756,2756,USD,txn_c_0,2026-08-20T00:00:00.000Z,none,0,
cus_23_inv_0,cus_23,control,mid|gray|na,expired_card,recovered,16317,16317,USD,txn_c_2,2026-08-20T00:00:00.000Z,none,0,
cus_28_inv_0,cus_28,control,small|soft|latam,try_again_later,recovered,4629,4629,USD,txn_c_4,2026-08-20T00:00:00.000Z,none,0,
cus_33_inv_0,cus_33,control,small|gray|na,do_not_honor,recovered,4805,4805,USD,txn_c_6,2026-08-20T00:00:00.000Z,none,0,
cus_39_inv_0,cus_39,control,mid|soft|na,insufficient_funds,recovered,11162,11162,USD,txn_c_7,2026-08-20T00:00:00.000Z,none,0,
cus_46_inv_0,cus_46,control,small|soft|na,insufficient_funds,recovered,3982,3982,USD,txn_c_8,2026-08-20T00:00:00.000Z,none,0,
cus_71_inv_0,cus_71,control,mid|gray|na,do_not_honor,recovered,11465,11465,USD,txn_c_11,2026-08-20T00:00:00.000Z,none,0,
cus_72_inv_0,cus_72,control,mid|soft|na,insufficient_funds,recovered,14135,14135,USD,txn_c_12,2026-08-20T00:00:00.000Z,none,0,
cus_103_inv_0,cus_103,control,small|gray|na,do_not_honor,recovered,7187,7187,USD,txn_c_15,2026-08-20T00:00:00.000Z,none,0,
cus_158_inv_0,cus_158,control,mid|soft|na,issuer_unavailable,recovered,17583,17583,USD,txn_c_16,2026-08-20T00:00:00.000Z,none,0,
cus_170_inv_0,cus_170,control,small|soft|na,insufficient_funds,recovered,9717,9717,USD,txn_c_17,2026-08-20T00:00:00.000Z,none,0,
cus_173_inv_0,cus_173,control,small|gray|na,expired_card,recovered,6094,6094,USD,txn_c_18,2026-08-20T00:00:00.000Z,none,0,
cus_199_inv_0,cus_199,control,small|soft|apac,processing_error,recovered,5863,5863,USD,txn_c_22,2026-08-20T00:00:00.000Z,none,0,
cus_206_inv_0,cus_206,control,small|soft|emea,insufficient_funds,recovered,9538,9538,USD,txn_c_24,2026-08-20T00:00:00.000Z,none,0,
cus_223_inv_0,cus_223,control,mid|soft|latam,insufficient_funds,recovered,26561,26561,USD,txn_c_26,2026-08-20T00:00:00.000Z,none,0,
cus_250_inv_0,cus_250,control,small|soft|na,processing_error,recovered,3784,3784,USD,txn_c_30,2026-08-20T00:00:00.000Z,none,0,
cus_287_inv_0,cus_287,control,mid|soft|latam,insufficient_funds,recovered,23621,23621,USD,txn_c_35,2026-08-20T00:00:00.000Z,none,0,
cus_289_inv_0,cus_289,control,large|gray|na,do_not_honor,recovered,51612,51612,USD,txn_c_37,2026-08-20T00:00:00.000Z,none,0,
cus_313_inv_1,cus_313,control,small|soft|na,insufficient_funds,recovered,9418,9418,USD,txn_c_40,2026-08-20T00:00:00.000Z,none,0,
cus_317_inv_1,cus_317,control,small|soft|emea,issuer_unavailable,recovered,7214,7214,USD,txn_c_42,2026-08-20T00:00:00.000Z,none,0,
cus_369_inv_0,cus_369,control,mid|soft|na,insufficient_funds,recovered,11534,11534,USD,txn_c_45,2026-08-20T00:00:00.000Z,none,0,
cus_413_inv_0,cus_413,control,small|soft|na,insufficient_funds,recovered,3656,3656,USD,txn_c_49,2026-08-20T00:00:00.000Z,none,0,
cus_418_inv_1,cus_418,control,small|gray|na,do_not_honor,recovered,2185,2185,USD,txn_c_51,2026-08-20T00:00:00.000Z,none,0,
cus_422_inv_0,cus_422,control,small|soft|emea,insufficient_funds,recovered,2827,2827,USD,txn_c_52,2026-08-20T00:00:00.000Z,none,0,
cus_465_inv_0,cus_465,control,small|soft|apac,try_again_later,recovered,4045,4045,USD,txn_c_58,2026-08-20T00:00:00.000Z,none,0,
cus_495_inv_0,cus_495,control,small|gray|na,do_not_honor,recovered,3406,3406,USD,txn_c_65,2026-08-20T00:00:00.000Z,none,0,
cus_566_inv_2,cus_566,control,small|soft|emea,insufficient_funds,recovered,2678,2678,USD,txn_c_71,2026-08-20T00:00:00.000Z,none,0,
cus_578_inv_0,cus_578,control,small|soft|apac,insufficient_funds,recovered,4389,4389,USD,txn_c_72,2026-08-20T00:00:00.000Z,none,0,
cus_596_inv_0,cus_596,control,micro|soft|na,insufficient_funds,recovered,1600,1600,USD,txn_c_74,2026-08-20T00:00:00.000Z,none,0,
cus_601_inv_0,cus_601,control,small|soft|apac,issuer_unavailable,recovered,5120,5120,USD,txn_c_76,2026-08-20T00:00:00.000Z,none,0,
cus_625_inv_0,cus_625,control,mid|gray|apac,do_not_honor,recovered,10381,10381,USD,txn_c_78,2026-08-20T00:00:00.000Z,none,0,
cus_636_inv_1,cus_636,control,small|gray|na,do_not_honor,recovered,5787,5787,USD,txn_c_82,2026-08-20T00:00:00.000Z,none,0,
cus_645_inv_0,cus_645,control,mid|soft|na,processing_error,recovered,23955,23955,USD,txn_c_85,2026-08-20T00:00:00.000Z,none,0,
cus_673_inv_0,cus_673,control,small|gray|emea,do_not_honor,recovered,3960,3960,USD,txn_c_87,2026-08-20T00:00:00.000Z,none,0,
cus_728_inv_0,cus_728,control,small|soft|na,issuer_unavailable,recovered,5118,5118,USD,txn_c_93,2026-08-20T00:00:00.000Z,none,0,
cus_747_inv_0,cus_747,control,small|soft|emea,insufficient_funds,recovered,6024,6024,USD,txn_c_96,2026-08-20T00:00:00.000Z,none,0,
cus_749_inv_0,cus_749,control,small|soft|apac,insufficient_funds,recovered,8542,8542,USD,txn_c_97,2026-08-20T00:00:00.000Z,none,0,
cus_811_inv_0,cus_811,control,small|soft|na,issuer_unavailable,recovered,9913,9913,USD,txn_c_100,2026-08-20T00:00:00.000Z,none,0,
cus_831_inv_0,cus_831,control,small|soft|latam,insufficient_funds,recovered,9624,9624,USD,txn_c_103,2026-08-20T00:00:00.000Z,none,0,
cus_896_inv_0,cus_896,control,small|gray|na,do_not_honor,recovered,3206,3206,USD,txn_c_104,2026-08-20T00:00:00.000Z,none,0,
cus_917_inv_0,cus_917,control,small|soft|na,try_again_later,recovered,2188,2188,USD,txn_c_107,2026-08-20T00:00:00.000Z,none,0,
cus_924_inv_0,cus_924,control,small|soft|na,insufficient_funds,recovered,3923,3923,USD,txn_c_112,2026-08-20T00:00:00.000Z,none,0,
cus_924_inv_1,cus_924,control,small|gray|na,do_not_honor,recovered,6148,6148,USD,txn_c_113,2026-08-20T00:00:00.000Z,none,0,
cus_955_inv_0,cus_955,control,small|gray|na,expired_card,recovered,5350,5350,USD,txn_c_116,2026-08-20T00:00:00.000Z,none,0,
cus_1039_inv_0,cus_1039,control,small|soft|na,insufficient_funds,recovered,6922,6922,USD,txn_c_128,2026-08-20T00:00:00.000Z,none,0,
cus_1064_inv_0,cus_1064,control,small|gray|na,expired_card,recovered,3842,3842,USD,txn_c_130,2026-08-20T00:00:00.000Z,none,0,
cus_1117_inv_1,cus_1117,control,mid|soft|emea,issuer_unavailable,recovered,11902,11902,USD,txn_c_132,2026-08-20T00:00:00.000Z,none,0,
cus_1117_inv_2,cus_1117,control,small|gray|emea,expired_card,recovered,5622,5622,USD,txn_c_133,2026-08-20T00:00:00.000Z,none,0,
cus_1136_inv_0,cus_1136,control,mid|soft|emea,insufficient_funds,recovered,19728,19728,USD,txn_c_134,2026-08-20T00:00:00.000Z,none,0,
cus_1151_inv_0,cus_1151,control,small|soft|na,insufficient_funds,recovered,4916,4916,USD,txn_c_135,2026-08-20T00:00:00.000Z,none,0,
cus_1154_inv_0,cus_1154,control,small|gray|na,expired_card,recovered,3294,3294,USD,txn_c_136,2026-08-20T00:00:00.000Z,none,0,
cus_1160_inv_0,cus_1160,control,small|soft|na,issuer_unavailable,recovered,3971,3971,USD,txn_c_139,2026-08-20T00:00:00.000Z,none,0,
cus_1233_inv_0,cus_1233,control,small|gray|emea,do_not_honor,recovered,4432,4432,USD,txn_c_148,2026-08-20T00:00:00.000Z,none,0,
cus_1236_inv_0,cus_1236,control,mid|soft|latam,velocity_limit_exceeded,recovered,13427,13427,USD,txn_c_149,2026-08-20T00:00:00.000Z,none,0,
cus_1302_inv_2,cus_1302,control,small|soft|na,velocity_limit_exceeded,recovered,5980,5980,USD,txn_c_161,2026-08-20T00:00:00.000Z,none,0,
cus_1314_inv_0,cus_1314,control,small|soft|emea,insufficient_funds,recovered,8622,8622,USD,txn_c_162,2026-08-20T00:00:00.000Z,none,0,
cus_1318_inv_0,cus_1318,control,small|soft|na,insufficient_funds,recovered,8377,8377,USD,txn_c_163,2026-08-20T00:00:00.000Z,none,0,
cus_1343_inv_0,cus_1343,control,micro|soft|na,issuer_unavailable,recovered,1838,1838,USD,txn_c_168,2026-08-20T00:00:00.000Z,none,0,
cus_1384_inv_0,cus_1384,control,small|soft|emea,insufficient_funds,recovered,5568,5568,USD,txn_c_172,2026-08-20T00:00:00.000Z,none,0,
cus_1389_inv_0,cus_1389,control,mid|soft|emea,issuer_unavailable,recovered,10753,10753,USD,txn_c_173,2026-08-20T00:00:00.000Z,none,0,
